Id,name,sex,urban/rural,income,GPA,parents qualification,average attendance,dropout
489,Sawyere,Male,urban,818018,3.5,illiterate,53,true
490,Lila,Female,urban,495087,6.4,High school,43,false
491,Zane,Male,rural,590597,6.1,High school,33,true
492,Phaedra,Female,rural,222145,6.8,illiterate,93,false
493,Westleigh,Male,urban,148763,4.0,High school,25,false
494,Caldwell,Male,urban,470681,1.5,illiterate,16,true
495,Nicolette,Female,rural,460138,1.9,High school,74,true
496,Sollie,Male,rural,997338,5.3,Graduate,62,true
497,Niles,Non-binary,rural,510206,2.0,High school,78,false
498,Alphonse,Male,urban,121203,0.7,illiterate,62,true
499,Hilliard,Male,rural,23553,1.1,illiterate,77,true
500,Homerus,Male,rural,437285,10.0,High school,50,false
501,Felipe,Male,rural,674691,5.8,High school,75,false
502,Deva,Female,rural,176088,2.2,illiterate,16,false
503,Beau,Male,rural,866330,3.3,Graduate,90,true
504,Rahal,Female,rural,370114,5.9,High school,91,true
505,Gunter,Male,rural,199636,1.3,Graduate,26,true
506,Darcy,Agender,rural,865523,7.0,High school,45,true
507,Teresita,Genderfluid,rural,964299,7.0,Graduate,74,true
508,Mandy,Female,rural,139353,2.5,High school,18,false
509,Mabelle,Female,rural,56502,8.6,Graduate,30,false
510,Marley,Female,urban,950072,10.0,Graduate,83,true
511,Connie,Female,urban,482977,0.9,High school,64,true
512,Bernardina,Female,rural,926266,0.8,illiterate,0,false
513,Charlotta,Female,rural,680290,4.4,High school,59,false
514,Caterina,Female,urban,426567,5.4,Graduate,1,true
515,Donni,Female,urban,860479,8.1,illiterate,78,false
516,Elizabeth,Female,rural,213,6.3,High school,42,false
517,Jermain,Polygender,urban,56324,2.2,High school,97,false
518,Gilberta,Female,rural,620085,4.6,Graduate,32,true
519,Mark,Genderfluid,rural,963154,6.3,Graduate,5,true
520,Wendall,Male,rural,133577,9.0,Graduate,24,false
521,Gloriana,Female,urban,684561,4.8,High school,56,true
522,Vernen,Male,rural,666474,7.2,Graduate,67,true
523,Cami,Female,urban,370584,1.3,illiterate,1,true
524,Sandro,Male,urban,826988,9.2,illiterate,94,false
525,Marna,Female,urban,877117,7.6,illiterate,88,false
526,Mariel,Female,rural,535843,0.1,illiterate,82,false
527,Maribeth,Female,urban,969903,4.4,Graduate,80,false
528,Tasha,Female,rural,689035,2.1,Graduate,11,true
529,Tremaine,Male,urban,208472,8.6,illiterate,88,false
530,Waverly,Male,rural,373808,1.8,illiterate,52,true
531,Clarabelle,Female,urban,51696,9.1,High school,9,true
532,Sutton,Male,urban,974104,9.8,Graduate,28,true
533,Garwood,Male,rural,337715,9.9,High school,75,true
534,Electra,Female,rural,571272,1.7,illiterate,62,false
535,Edie,Female,urban,222695,3.2,illiterate,85,true
536,Correna,Female,urban,572892,1.7,illiterate,16,false
537,Zoe,Female,rural,97171,3.3,High school,60,false
538,Olenka,Genderqueer,urban,714759,1.0,Graduate,25,false
539,Gisela,Female,rural,664718,0.2,Graduate,85,false
540,Gard,Male,urban,910327,7.3,High school,35,false
541,Grier,Female,urban,176857,5.3,High school,37,false
542,Susie,Female,urban,464860,4.1,High school,19,false
543,Theresina,Polygender,rural,440167,2.7,illiterate,12,false
544,Albina,Female,rural,539098,3.3,High school,92,true
545,Antoinette,Female,urban,128139,1.0,High school,26,false
546,Joya,Female,urban,337122,2.4,Graduate,62,true
547,Case,Male,urban,190335,3.5,illiterate,92,false
548,Valaree,Female,urban,561710,4.9,illiterate,28,false
549,Tonye,Female,rural,862343,6.0,illiterate,54,false
550,Esmeralda,Female,rural,949848,6.9,High school,30,true
551,Rustin,Genderqueer,rural,268030,7.7,illiterate,55,false
552,Hugibert,Male,urban,207363,7.7,Graduate,31,false
553,Torrey,Male,rural,386728,3.6,Graduate,46,true
554,Sidnee,Male,rural,784246,1.7,illiterate,5,true
555,Elset,Female,urban,289085,7.8,High school,60,true
556,Easter,Female,urban,254527,8.5,illiterate,72,false
557,Dael,Male,urban,634846,10.0,illiterate,85,true
558,Mathilde,Female,urban,592310,8.1,Graduate,9,false
559,Rodney,Male,rural,33971,8.0,High school,61,true
560,Jenny,Female,rural,418597,6.8,Graduate,3,false
561,Nathaniel,Male,rural,804078,0.8,illiterate,23,true
562,Alex,Female,urban,221159,1.8,Graduate,58,false
563,Tedra,Female,urban,695397,9.7,illiterate,61,true
564,Marsh,Male,rural,624787,9.9,Graduate,60,false
565,Chase,Polygender,rural,711593,7.2,Graduate,47,true
566,Shellysheldon,Male,rural,21089,3.4,illiterate,74,true
567,Shawn,Female,rural,797198,8.2,illiterate,33,true
568,Janifer,Female,urban,408330,5.8,High school,59,false
569,Walther,Male,urban,36503,1.9,Graduate,59,true
570,Roby,Female,rural,480605,3.5,High school,50,false
571,Petronia,Female,rural,132267,3.0,Graduate,91,true
572,Travers,Non-binary,rural,351145,2.8,Graduate,33,true
573,Dagmar,Female,urban,271267,2.5,High school,88,true
574,Jenn,Female,rural,183384,1.8,illiterate,31,true
575,Alphonso,Male,urban,174295,6.9,High school,13,true
576,Alexina,Female,urban,75618,1.6,Graduate,72,true
577,Niall,Male,urban,363419,8.2,Graduate,22,true
578,Chaddy,Male,rural,849913,7.6,High school,58,true
579,Katha,Female,urban,259484,7.1,Graduate,44,false
580,Townie,Male,rural,784185,8.8,Graduate,33,true
581,Tomaso,Male,urban,782353,8.4,Graduate,23,false
582,Nollie,Female,urban,218317,9.6,Graduate,27,true
583,Marco,Male,rural,892207,3.9,Graduate,14,true
584,Mariann,Genderqueer,urban,838129,4.5,Graduate,14,true
585,Sloane,Male,urban,774411,1.0,illiterate,54,false
586,Cassius,Male,urban,987002,1.9,illiterate,91,true
587,Bennie,Genderqueer,urban,840350,6.7,High school,7,false
588,Haley,Male,rural,378723,4.8,illiterate,37,false
589,Munroe,Male,urban,158804,2.6,High school,34,true
590,Nertie,Female,rural,928727,8.9,illiterate,69,false
591,Armin,Male,rural,465674,7.1,Graduate,27,false
592,Sharlene,Female,urban,643933,7.6,High school,100,false
593,Gabey,Female,urban,181509,8.6,Graduate,57,false
594,Rudolph,Male,rural,677961,0.9,Graduate,81,true
595,Lottie,Bigender,rural,989233,2.0,Graduate,98,true
596,Nikolas,Male,rural,9851,2.1,Graduate,50,true
597,Camella,Female,urban,94778,0.9,Graduate,83,true
598,Aubert,Male,urban,396341,5.7,Graduate,55,false
599,Stanislaw,Male,urban,464550,9.2,High school,77,false
600,Edithe,Female,urban,787105,8.1,illiterate,21,true
601,Pedro,Male,urban,506347,0.1,illiterate,66,true
602,Gus,Female,urban,774706,3.9,High school,59,true
603,Lu,Female,urban,182981,9.4,Graduate,62,true
604,Grayce,Female,rural,139792,5.5,illiterate,39,false
605,Cristin,Female,rural,181046,2.7,High school,16,false
606,Adaline,Female,urban,567878,2.4,Graduate,80,false
607,Marten,Male,urban,796912,7.7,High school,56,true
608,Vannie,Female,urban,732852,8.7,High school,95,true
609,Ettore,Male,urban,583746,5.2,Graduate,13,false
610,Yancy,Male,rural,626848,1.0,Graduate,73,false
611,Cloris,Female,rural,972945,3.0,illiterate,68,false
612,Jemmy,Female,urban,122330,6.4,illiterate,70,true
613,Gaby,Female,rural,425799,2.5,High school,68,false
614,Anne-marie,Female,rural,6244,1.4,illiterate,45,true
615,Damian,Male,rural,699921,5.3,Graduate,87,false
616,Concettina,Female,rural,390835,2.0,High school,66,false
617,Ellyn,Female,rural,17841,0.0,High school,72,true
618,Raffaello,Male,urban,176569,1.3,illiterate,96,true
619,Iolanthe,Polygender,rural,247042,7.2,Graduate,60,true
620,Shaughn,Male,urban,106471,4.5,Graduate,96,true
621,Trish,Non-binary,urban,92879,4.9,illiterate,64,true
622,Silas,Male,rural,303118,5.5,High school,77,false
623,Olivia,Female,rural,952626,8.9,illiterate,66,true
624,Arlan,Male,urban,765889,7.8,High school,32,false
625,Baldwin,Male,rural,729267,4.0,illiterate,73,true
626,Hernando,Male,urban,895219,6.0,High school,76,true
627,Osmund,Male,rural,585322,4.8,Graduate,42,false
628,Felicio,Male,rural,869669,5.3,Graduate,45,false
629,Kliment,Male,urban,140186,4.6,illiterate,20,false
630,Gawain,Male,rural,508913,1.3,illiterate,82,true
631,Gladys,Female,rural,94936,8.8,High school,33,true
632,Filip,Male,urban,451760,4.6,Graduate,0,false
633,Bernard,Male,rural,128265,5.3,High school,76,false
634,Cassy,Female,urban,860743,1.2,illiterate,29,true
635,Trever,Male,rural,23534,6.1,illiterate,39,true
636,Burtie,Male,rural,644055,2.2,High school,42,true
637,Ali,Male,rural,341397,7.4,High school,22,false
638,Imojean,Genderqueer,urban,536394,8.2,Graduate,0,false
639,Ella,Female,rural,874233,5.2,High school,40,false
640,Ediva,Female,rural,867417,4.1,High school,58,false
641,Yoshiko,Female,rural,945982,3.8,illiterate,78,true
642,Germaine,Polygender,rural,99296,4.0,Graduate,54,false
643,Winfield,Male,rural,996494,4.6,High school,36,false
644,Brooke,Male,urban,770755,2.9,High school,81,false
645,Minette,Female,rural,886997,0.9,High school,49,true
646,Yancy,Male,rural,10173,3.0,High school,94,true
647,Fred,Male,urban,143568,6.5,Graduate,99,false
648,Inglebert,Genderfluid,rural,499092,4.0,Graduate,50,false
649,Patti,Female,rural,601968,3.9,High school,48,true
650,Maggie,Female,rural,486817,3.3,High school,11,true
651,Orbadiah,Male,urban,352908,6.6,High school,93,true
652,Brianna,Female,rural,619409,6.2,illiterate,68,false
653,Richmond,Male,urban,181228,2.6,illiterate,80,false
654,Mae,Bigender,rural,738871,8.5,Graduate,15,false
655,Matilda,Female,urban,320931,0.1,Graduate,91,true
656,Portie,Male,rural,487862,9.5,High school,11,false
657,Manfred,Male,urban,34863,6.1,illiterate,7,false
658,Bronnie,Male,urban,374566,2.8,illiterate,61,true
659,Florenza,Bigender,rural,804118,5.5,Graduate,35,true
660,Larry,Male,urban,169340,5.9,Graduate,61,false
661,Ignacio,Male,urban,329085,0.5,illiterate,40,false
662,Katrinka,Female,urban,388689,1.2,High school,63,false
663,Cobbie,Male,urban,190966,3.7,High school,0,true
664,Staffard,Male,urban,678628,6.6,Graduate,16,true
665,Sunny,Male,rural,391224,4.3,Graduate,20,false
666,Jannel,Female,urban,293170,3.7,illiterate,73,true
667,Roseline,Female,urban,642945,1.9,Graduate,11,false
668,Becka,Female,urban,503621,6.3,illiterate,35,true
669,Modestia,Female,urban,356720,4.7,Graduate,37,true
670,Morie,Male,urban,472812,9.3,High school,69,true
671,Keen,Male,urban,267608,4.0,Graduate,77,true
672,Hurlee,Genderqueer,urban,336972,6.3,illiterate,88,true
673,Ganny,Male,rural,692622,7.1,illiterate,62,true
674,Paton,Male,rural,20673,0.0,High school,7,false
675,Svend,Male,rural,699578,2.2,illiterate,66,true
676,Evin,Male,rural,381177,6.3,High school,73,true
677,Zachariah,Polygender,rural,33638,0.5,illiterate,12,false
678,Dael,Male,rural,965325,8.9,illiterate,98,true
679,Aggy,Female,rural,740500,3.0,High school,28,true
680,Jamison,Male,urban,386640,9.7,illiterate,35,true
681,Amandie,Female,urban,531200,4.2,Graduate,42,false
682,Kinny,Male,urban,360072,6.4,Graduate,34,false
683,Tabbie,Male,rural,323887,3.3,Graduate,46,false
684,Maury,Male,rural,849,3.3,illiterate,69,true
685,Benedict,Bigender,urban,223172,7.2,illiterate,86,true
686,Michaeline,Female,rural,54565,0.7,illiterate,34,true
687,Carmella,Female,urban,458376,5.8,High school,3,true
688,Giraud,Male,urban,978723,5.6,Graduate,2,false
689,Felipa,Female,urban,996057,5.5,High school,65,true
690,Willetta,Female,rural,363317,5.4,illiterate,64,true
691,Shermie,Bigender,rural,431837,9.8,Graduate,79,true
692,Berti,Male,urban,762828,9.9,Graduate,30,true
693,Kaye,Female,urban,172748,4.8,High school,47,false
694,Lonny,Male,rural,917808,3.3,illiterate,100,true
695,Brendin,Male,urban,716868,5.6,Graduate,82,true
696,Beauregard,Male,urban,840968,6.0,illiterate,90,true
697,Shepherd,Male,urban,431337,8.9,High school,8,false
698,Judie,Female,rural,361248,9.9,illiterate,50,true
699,Sheba,Female,urban,186652,7.8,Graduate,26,false
700,Wallis,Female,urban,325137,6.0,illiterate,76,true
701,Karee,Female,urban,4503,5.8,Graduate,53,true
702,Winnah,Female,urban,875062,5.3,Graduate,13,true
703,Mordecai,Male,urban,914777,4.7,Graduate,11,true
704,Rica,Female,urban,875235,8.3,High school,98,false
705,Cosmo,Male,rural,669055,5.7,illiterate,65,false
706,Olav,Male,urban,454719,0.7,Graduate,74,false
707,Kari,Female,rural,49481,5.7,illiterate,43,true
708,Ashton,Male,rural,5749,6.3,High school,80,true
709,Cyrille,Male,rural,811556,6.9,Graduate,5,true
710,Walton,Male,urban,342835,2.9,High school,84,true
711,Hobey,Male,rural,868792,8.7,illiterate,5,true
712,Rhona,Female,rural,429056,6.9,illiterate,47,false
713,Phedra,Female,urban,962191,1.5,illiterate,32,true
714,Dino,Polygender,urban,612041,2.4,illiterate,89,false
715,Romola,Female,urban,944977,6.4,High school,3,true
716,Urbano,Genderfluid,urban,728896,5.6,illiterate,100,false
717,Willy,Male,urban,691344,7.7,illiterate,18,true
718,Sallyanne,Female,urban,780005,0.6,illiterate,50,true
719,Missie,Female,urban,888063,0.5,High school,25,true
720,Rufe,Male,urban,183561,4.1,Graduate,45,false
721,Rodina,Female,rural,728161,5.0,Graduate,17,true
722,Larine,Female,urban,283807,9.1,Graduate,9,false
723,Giovanni,Male,rural,44189,6.7,Graduate,21,true
724,Jackson,Male,urban,988342,8.4,Graduate,50,false
725,Ora,Female,rural,462075,7.0,illiterate,35,false
726,Ange,Female,urban,554210,0.9,High school,67,false
727,Cyrille,Non-binary,rural,648610,1.6,High school,58,false
728,Kimbell,Male,urban,546408,2.9,High school,34,true
729,Bern,Male,urban,673524,1.7,illiterate,87,false
730,Wileen,Female,rural,318552,0.1,illiterate,49,true
731,Augy,Male,urban,674375,0.8,illiterate,31,false
732,Kimmi,Female,urban,887717,4.9,Graduate,57,true
733,Jeffry,Male,rural,41297,4.9,Graduate,71,false
734,Luis,Male,rural,479658,8.6,High school,61,true
735,Isac,Male,rural,555424,8.5,Graduate,77,true
736,Ulberto,Male,rural,465024,0.4,Graduate,75,false
737,Uri,Male,urban,534511,3.9,Graduate,52,false
738,Drusy,Female,urban,702652,0.6,Graduate,73,false
739,Nata,Female,rural,395728,8.6,illiterate,9,true
740,Abraham,Male,rural,941178,5.3,High school,54,false
741,Pinchas,Male,urban,312213,3.6,illiterate,78,false
742,Addie,Polygender,rural,731135,8.2,Graduate,95,true
743,Lowe,Male,rural,967878,3.2,High school,23,false
744,Maynard,Male,rural,476180,6.4,illiterate,92,false
745,Dorella,Female,urban,355221,3.1,illiterate,63,true
746,Leonard,Male,urban,848866,8.4,Graduate,61,true
747,Sanson,Male,urban,186555,6.8,High school,10,false
748,Mac,Male,rural,140666,4.4,High school,4,true
749,Berthe,Female,rural,4394,9.3,High school,93,false
750,Gage,Male,urban,762249,5.2,High school,43,false
751,Sanford,Male,rural,693092,5.1,High school,12,false
752,Bunny,Female,urban,980769,2.8,illiterate,63,false
753,Karie,Bigender,rural,577433,6.4,illiterate,81,true
754,Linette,Female,urban,681756,4.0,Graduate,88,true
755,Colan,Male,urban,683257,6.0,illiterate,34,true
756,Rafaello,Male,rural,660348,5.8,High school,94,false
757,Donnie,Male,urban,914820,1.5,High school,65,false
758,Stefa,Female,urban,693718,9.8,illiterate,57,true
759,Darcy,Female,rural,968963,2.5,Graduate,27,true
760,Hildy,Female,urban,530275,2.8,Graduate,47,true
761,Lesli,Female,rural,130410,7.0,High school,65,true
762,Caryn,Bigender,urban,273742,1.7,High school,57,true
763,Elicia,Female,rural,483476,9.2,illiterate,47,false
764,Baudoin,Genderfluid,rural,407316,2.0,illiterate,34,true
765,Alphard,Male,urban,928111,3.7,Graduate,7,true
766,Hanan,Male,urban,502444,5.6,High school,51,true
767,Emmy,Male,rural,697731,5.6,High school,55,true
768,Lola,Female,rural,640403,9.4,High school,100,true
769,Ernie,Male,rural,70454,1.9,illiterate,67,false
770,Giff,Male,rural,323972,6.5,High school,33,true
771,Garrick,Polygender,urban,488195,3.6,Graduate,75,false
772,Chancey,Male,rural,178731,3.6,Graduate,52,false
773,Dionysus,Male,rural,788102,1.1,illiterate,86,false
774,Annelise,Female,urban,607514,6.7,High school,17,true
775,Chastity,Female,urban,974169,6.8,Graduate,48,false
776,Alidia,Female,urban,449190,3.3,High school,73,true
777,Holden,Male,rural,442837,0.5,illiterate,5,false
778,Melissa,Female,urban,21141,3.5,High school,80,false
779,Seward,Male,rural,484005,4.8,illiterate,63,false
780,Friedrick,Male,rural,38869,0.9,High school,4,true
781,Judi,Female,rural,634353,7.7,illiterate,62,true
782,Emelita,Female,rural,212495,5.2,illiterate,99,true
783,Sigismond,Male,urban,110988,1.6,High school,36,false
784,Leonanie,Female,urban,693870,5.9,High school,8,false
785,Chickie,Female,urban,858963,1.6,Graduate,44,false
786,Jard,Male,urban,427309,1.5,illiterate,3,true
787,Berkly,Male,rural,335953,7.6,illiterate,70,true
788,Clyve,Male,urban,951477,4.0,High school,7,true
789,Granger,Male,urban,940504,2.1,High school,92,true
790,Konstantin,Agender,rural,984857,2.2,illiterate,91,false
791,Adair,Male,rural,886795,2.8,High school,77,true
792,Llewellyn,Male,urban,81051,0.3,Graduate,63,false
793,Francklyn,Male,rural,816817,5.5,Graduate,36,false
794,Winnie,Female,urban,456224,7.9,High school,2,false
795,Ax,Polygender,urban,34757,2.0,illiterate,11,true
796,Alfonse,Male,rural,81505,3.8,illiterate,25,false
797,Johannah,Female,rural,347864,2.5,illiterate,80,false
798,Nicol,Female,rural,507531,0.3,illiterate,39,false
799,Paulette,Female,urban,312238,4.1,High school,3,true
800,Innis,Male,rural,546443,9.1,illiterate,13,false
801,Geneva,Female,rural,610244,2.5,illiterate,2,true
802,Sheff,Male,urban,923174,6.5,illiterate,81,true
803,Rand,Male,rural,666219,3.5,Graduate,69,false
804,Dimitry,Male,urban,96063,7.0,illiterate,40,false
805,Shane,Genderfluid,urban,106844,7.3,illiterate,18,false
806,Simeon,Male,rural,686078,6.1,High school,80,true
807,Curtice,Male,urban,751625,8.5,illiterate,5,false
808,Sarine,Female,rural,154986,9.4,Graduate,19,true
809,Casi,Female,urban,722344,2.3,Graduate,30,true
810,Norry,Male,urban,432056,6.7,Graduate,26,false
811,Else,Female,rural,218282,8.4,illiterate,17,false
812,Bertrand,Male,urban,830153,4.6,Graduate,25,false
813,Art,Male,urban,408135,3.1,High school,11,false
814,Feliks,Male,urban,231944,6.7,High school,23,false
815,Ebba,Female,urban,750086,1.6,Graduate,68,true
816,Aviva,Genderqueer,urban,754783,8.7,High school,76,true
817,Etheline,Female,rural,887961,2.5,Graduate,57,true
818,Laughton,Male,urban,366622,3.3,illiterate,2,false
819,Claudius,Male,urban,7174,0.2,High school,4,true
820,Linnet,Genderqueer,urban,638054,1.0,Graduate,92,true
821,Alanah,Polygender,rural,848112,6.6,illiterate,99,false
822,Rafferty,Male,urban,223328,4.2,illiterate,87,false
823,Sybilla,Female,rural,199032,4.9,High school,66,true
824,Lucienne,Female,urban,442848,4.9,Graduate,51,false
825,Cheston,Male,rural,601809,2.8,Graduate,8,false
826,Skye,Male,urban,561597,7.0,High school,61,true
827,Fleming,Male,rural,751033,5.6,High school,1,false
828,Bernadina,Female,rural,446466,5.0,illiterate,54,true
829,Jemimah,Female,rural,102700,3.1,illiterate,100,true
830,Tory,Female,rural,340648,8.8,illiterate,19,false
831,Grenville,Male,urban,65409,9.9,High school,48,false
832,Viole,Female,rural,942133,4.5,illiterate,3,false
833,Aurilia,Female,urban,761486,9.8,High school,65,true
834,Worden,Male,rural,122488,10.0,illiterate,80,true
835,Madlen,Female,rural,21827,0.2,High school,36,true
836,Corissa,Female,rural,594112,2.9,High school,33,false
837,Inge,Female,urban,835581,3.6,Graduate,3,false
838,Rouvin,Male,urban,384082,3.3,High school,98,true
839,Lydia,Female,rural,577574,2.4,Graduate,6,true
840,Artemus,Male,urban,298024,9.5,High school,99,true
841,Maury,Bigender,rural,512396,2.0,Graduate,8,true
842,Maxwell,Male,urban,132312,5.5,High school,7,true
843,Rudy,Male,rural,4562,5.1,High school,40,true
844,Hillary,Male,rural,993982,7.7,illiterate,64,true
845,Carolin,Genderfluid,urban,42627,8.2,illiterate,82,false
846,Erinn,Female,rural,615086,6.3,Graduate,60,true
847,Willette,Female,urban,861945,4.0,illiterate,56,true
848,Evangeline,Female,rural,133991,4.2,High school,49,false
849,Kessiah,Female,rural,433010,9.3,illiterate,3,false
850,Ileana,Female,rural,143791,7.1,illiterate,75,true
851,Britt,Female,urban,889068,1.2,High school,2,true
852,Denna,Female,rural,612051,0.6,Graduate,78,false
853,Bert,Genderqueer,urban,472577,9.8,Graduate,17,true
854,Lynn,Male,rural,25039,3.1,illiterate,60,false
855,Rose,Female,urban,151101,1.4,illiterate,68,false
856,Yelena,Female,urban,131456,4.8,illiterate,14,true
857,Sheela,Polygender,urban,86939,2.7,Graduate,33,false
858,Constantin,Male,rural,584978,9.7,Graduate,93,false
859,Grace,Male,urban,542896,6.1,High school,71,true
860,Lyndsie,Female,rural,962599,1.3,illiterate,29,false
861,Erasmus,Male,rural,281557,1.0,illiterate,58,false
862,Morty,Male,rural,642972,6.8,Graduate,56,true
863,Wini,Female,urban,328290,1.0,Graduate,94,true
864,Gwendolen,Female,urban,741253,5.1,illiterate,71,false
865,Antonino,Male,rural,499484,1.0,illiterate,72,false
866,Saw,Male,rural,275972,0.8,illiterate,29,false
867,Travus,Male,urban,191736,8.0,High school,80,false
868,Tobe,Male,urban,244280,8.4,illiterate,59,false
869,Josefa,Female,rural,143250,5.0,illiterate,88,true
870,Peggie,Female,urban,372349,1.6,High school,94,false
871,Mohandis,Male,urban,265375,8.2,illiterate,49,false
872,Tobias,Male,urban,936296,0.5,Graduate,0,false
873,Esmaria,Female,rural,646666,0.6,Graduate,17,true
874,Rowen,Agender,rural,731474,2.4,High school,27,true
875,Arie,Male,urban,886358,0.5,illiterate,55,false
876,Englebert,Male,urban,769611,0.3,High school,24,true
877,Deedee,Female,rural,259689,8.0,High school,50,true
878,Tina,Female,rural,77556,9.9,High school,28,false
879,Lee,Male,rural,84446,1.4,High school,63,true
880,Alia,Female,rural,554571,8.1,illiterate,74,true
881,Coletta,Female,rural,964419,2.6,illiterate,77,false
882,Yard,Male,urban,961603,3.4,Graduate,31,true
883,Jakie,Male,urban,296854,6.7,High school,48,true
884,Norbert,Male,rural,60462,8.3,illiterate,92,false
885,Ruprecht,Male,urban,766003,7.3,Graduate,81,false
886,Anthia,Female,urban,374196,5.7,High school,32,true
887,Josy,Female,rural,29958,2.8,High school,93,true
888,Kathryn,Female,rural,379370,6.6,illiterate,58,true
889,Mirella,Female,rural,990909,0.6,Graduate,69,true
890,Christiane,Female,rural,298693,7.0,illiterate,25,true
891,Belvia,Female,urban,78290,1.5,High school,58,false
892,Rustie,Male,rural,349689,2.8,illiterate,24,false
893,Kelsey,Female,rural,318652,0.4,illiterate,10,false
894,Bernadene,Female,urban,147416,0.7,Graduate,22,false
895,Celia,Female,rural,51656,1.3,High school,4,false
896,Terrell,Male,rural,935265,8.0,Graduate,21,false
897,Viole,Female,rural,458209,2.6,High school,55,true
898,Charmane,Female,urban,861893,7.9,illiterate,70,false
899,Jenda,Female,rural,746664,9.3,Graduate,81,true
900,Waite,Male,rural,994798,4.1,illiterate,85,false
901,Jeanelle,Female,urban,249093,7.8,High school,92,true
902,Doralynne,Female,rural,592696,7.5,High school,0,true
903,Edythe,Polygender,urban,903222,1.4,Graduate,15,false
904,Stephenie,Female,urban,108391,9.7,Graduate,39,false
905,Conrado,Bigender,rural,610991,5.7,High school,53,true
906,Quintin,Male,urban,389828,0.3,illiterate,96,false
907,Levon,Male,urban,482847,6.0,illiterate,62,true
908,Ronny,Female,urban,539220,5.2,High school,81,false
909,Judith,Female,rural,774990,9.2,High school,22,true
910,Gianni,Male,urban,678371,1.0,High school,95,false
911,Martelle,Female,rural,117501,6.1,High school,39,false
912,Cob,Male,rural,630940,2.7,High school,37,false
913,Isidore,Male,rural,238821,7.3,illiterate,7,false
914,Tonia,Female,urban,873635,0.1,Graduate,27,true
915,Morrie,Male,urban,682035,4.7,Graduate,67,false
916,Ladonna,Female,urban,429665,4.8,High school,82,false
917,Jelene,Female,urban,51231,5.8,Graduate,44,true
918,June,Female,urban,216156,2.7,High school,10,false
919,Alford,Male,rural,413556,1.4,Graduate,63,true
920,Arvie,Male,rural,174976,6.4,High school,76,false
921,Charles,Male,urban,555834,3.2,High school,59,false
922,Berk,Polygender,rural,111251,0.5,illiterate,46,false
923,Sandor,Male,rural,964631,2.9,illiterate,77,false
924,Geneva,Female,urban,989573,0.2,High school,25,true
925,Martelle,Female,rural,747675,6.8,illiterate,4,false
926,Nicholas,Male,urban,82887,6.9,High school,76,false
927,Kaitlin,Female,urban,333647,0.5,Graduate,52,false
928,Tull,Male,urban,471509,7.4,Graduate,16,true
929,Elissa,Female,urban,833830,3.7,High school,60,false
930,Jennilee,Female,urban,73564,8.2,illiterate,48,false
931,Constanta,Female,rural,878005,9.9,High school,64,false
932,Con,Male,rural,556793,5.8,illiterate,92,false
933,Taddeusz,Male,rural,702626,2.9,High school,85,false
934,Lana,Female,rural,283321,0.0,illiterate,57,false
935,Atlante,Female,rural,247935,3.0,High school,23,false
936,Bessie,Female,urban,834311,7.7,High school,16,true
937,Silvia,Female,urban,63339,7.5,illiterate,95,true
938,Harlan,Male,urban,217888,3.1,Graduate,41,true
939,Alick,Male,rural,355419,8.9,Graduate,41,true
940,Lewes,Male,urban,262013,0.8,Graduate,32,false
941,Aubrey,Male,urban,838862,2.5,High school,32,false
942,Brig,Male,urban,768085,8.6,High school,53,true
943,Marje,Female,urban,107144,6.4,Graduate,70,true
944,Lucinda,Female,rural,86526,6.9,Graduate,97,false
945,Elliott,Male,urban,272536,8.4,Graduate,73,false
946,Tess,Female,urban,877053,4.3,High school,53,true
947,Reginald,Male,rural,12524,5.6,High school,61,false
948,Rowland,Male,rural,907099,4.3,High school,17,false
949,Catharine,Female,rural,671018,4.9,illiterate,1,true
950,Sukey,Female,urban,267239,5.1,illiterate,53,false
951,Liam,Male,rural,255675,3.0,High school,0,false
952,Myranda,Female,rural,259240,6.3,illiterate,10,false
953,Sully,Male,urban,264177,4.2,High school,58,false
954,Hadley,Male,rural,234015,1.6,High school,77,false
955,Adolphus,Male,urban,850558,6.4,Graduate,10,false
956,Micki,Female,urban,110427,0.7,illiterate,34,true
957,Ericka,Bigender,rural,570308,6.7,illiterate,97,false
958,Celinda,Female,rural,149533,3.5,illiterate,28,true
959,Linc,Male,rural,706472,1.4,Graduate,57,true
960,Winnie,Male,rural,103075,2.7,High school,52,true
961,Zacherie,Male,rural,215842,0.8,Graduate,55,false
962,Bernita,Female,urban,33728,5.7,High school,89,false
963,West,Male,rural,560567,4.9,High school,100,false
964,Marcus,Male,urban,77743,4.4,High school,3,true
965,Zerk,Male,urban,941330,6.0,illiterate,74,false
966,Micky,Male,rural,443227,8.1,Graduate,55,false
967,Dael,Genderqueer,rural,679395,3.8,High school,82,true
968,Westbrook,Male,rural,3933,9.5,High school,21,false
969,Pavlov,Bigender,urban,978483,2.6,illiterate,39,true
970,Rosaline,Female,rural,516686,1.9,illiterate,39,false
971,Morna,Female,urban,160177,2.7,Graduate,52,false
972,Gelya,Female,urban,218874,4.4,High school,27,true
973,Nikki,Genderqueer,rural,822288,0.7,illiterate,58,true
974,Elga,Female,rural,578874,1.9,Graduate,28,true
975,Herby,Male,urban,718594,7.0,illiterate,98,false
976,Kari,Female,rural,708233,6.4,High school,85,true
977,Isidro,Male,rural,16395,2.6,illiterate,51,false
